mask,slit_no,obj,c2020_id,ypix_mospy,mospy_notes,pypeit_notes,wp,mia,keep,confidence,cquality,zguess,zmeasured,wave,ypix_slit,photoz,photoz_source,MUV,serendip_ra,serendip_dec,pypeit_ref_idx,pypeit_slit,                    pypeit_name , maskdef_id ,     objra ,  objdec , spat_pixpos , spat_fracpos , box_width , opt_fwhm ,   s2n , maskdef_extract 
wmmc06,26,B_WP23111,23111,,l@10197?,,1,,0,0,-1,,,,,,c2020,,,,,265,SPAT0269-SLIT0265-DET01,26,150.04354,2.46063,269,0.58,1,0.35,0.18,TRUE
wmmc06,30,CAND_L58875,58875,,l@11131?,,1,,0,0,-1,,,,,,c2020,,,,,82,SPAT0085-SLIT0082-DET01,30,150.07096,2.44077,85,0.593,1,0.35,-0.01,TRUE
wmmu01,1,         M_WPCAND-4775 ,,,l@9839?,,1,,0,1,-1,,,,,,,,,,,2796, SPAT2794-SLIT2796-DET01 ,1,34.31492,-5.14936,2794,0.466,2,0.6,0.01,            True 
wmmu01,2,         L_WPCAND-5916 ,,,l@10039?onsky,,1,,0,1,-1,,,,,,,,,,,2704, SPAT2722-SLIT2704-DET01 ,2,34.30821,-5.14618,2722,0.667,2,0.6,0,            True 
wmmu01,3,        L_WPCAND-10635 ,,,"nl,nc",,1,,0,0,-1,,,,,,,,,,,2612, SPAT2613-SLIT2612-DET01 ,3,34.29375,-5.13825,2613,0.517,2,0.6,0.02,            True 
wmmu01,4,         L_WPCAND-2383 ,,,"nl,nc",,1,,0,0,-1,,,,,,,,,,,2520, SPAT2535-SLIT2520-DET01 ,4,34.30454,-5.15204,2535,0.644,2,0.6,0.04,            True 
wmmu01,5,         M_WPCAND-8677 ,,,"nl,nc",,1,,0,0,-1,,,,,,,,,,,2406, SPAT2403-SLIT2406-DET01 ,5,34.28483,-5.14079,2403,0.471,2,0.6,0,            True 
wmmu01,6,         B_WPCAND-6931 ,,,"fc,l@11182,10789",,1,,,1,1,8.195,,11182,30,,,,,,,2314, SPAT2314-SLIT2314-DET01 ,6,34.28258,-5.14308,2314,0.492,2,0.6,0.1,            True 
wmmu01,7,         B_WPCAND-4679 ,,,"nl,nc",,1,,0,0,-1,,,,,,,,,,,2246, SPAT2248-SLIT2246-DET01 ,7,34.28742,-5.15059,2248,0.534,2,0.6,-0.01,            True 
wmmu01,9,         L_WPCAND19397 ,,,l@10435?,,1,,,1,-1,7.58,,10435,39,,,,,,,2086, SPAT2069-SLIT2086-DET01 ,9,34.29658,-5.16812,2069,0.33,2,0.6,0.07,            True 
wmmu01,10,         B_WPCAND22885 ,,,l@10949?10444?,,1,,,1,0,7.591,,10444,36,,,,,,,1973, SPAT1954-SLIT1973-DET01 ,10,34.29837,-5.17603,1954,0.317,2,0.6,0.03,            True 
wmmu01,11,         L_WPCAND-4815 ,,,l@10022,,1,,,1,0,7.244,,10022,31,,,,,,,1860, SPAT1841-SLIT1860-DET01 ,11,34.26425,-5.14996,1841,0.32,2,0.6,0,            True 
wmmu01,13,         L_WPCAND18441 ,,,"nl,nc",,1,,0,0,-1,,,,,,,,,,,1678, SPAT1665-SLIT1678-DET01 ,13,34.27187,-5.16597,1665,0.369,2,0.6,-0.06,            True 
wmmu01,16,         L_WPCAND-1567 ,,,l@10342??,,1,,,1,-1,7.505,,10342,25,,,,,,,1448, SPAT1449-SLIT1448-DET01 ,16,34.25246,-5.15728,1449,0.517,2,0.6,0.07,            True 
